name,year,selling_price,km_driven,fuel,Company
Maruti Swift Dzire,2014,450000,145500,Diesel,Maruti
Honda City 2017-2020,2006,158000,140000,Petrol,Honda
Hyundai i20 Sportz,2010,225000,127000,Diesel,Hyundai
Maruti Swift VXI,2007,130000,120000,Petrol,Maruti
Hyundai Xcent 1.2,2017,440000,45000,Petrol,Hyundai
Toyota Etios VXD,2011,350000,90000,Diesel,Toyota
Ford Figo Diesel,2013,200000,169000,Diesel,Ford
Renault Duster 110PS,2014,500000,68000,Diesel,Renault
Maruti Swift Dzire,2009,280000,140000,Diesel,Maruti
Maruti Wagon R,2009,180000,90000,Petrol,Maruti
Mahindra KUV 100,2016,400000,40000,Petrol,Mahindra
Maruti Ertiga SHVS,2016,778000,70000,Diesel,Maruti
Hyundai i20 1.4,2012,500000,53000,Diesel,Hyundai
Hyundai i20 2015-2017,2016,680000,100000,Diesel,Hyundai
Mahindra Verito 1.5,2011,174000,100000,Diesel,Mahindra
Honda WR-V i-DTEC,2017,950000,50000,Diesel,Honda
Maruti Swift Dzire,2015,525000,40000,Diesel,Maruti
Maruti SX4 ZDI,2012,600000,72000,Diesel,Maruti
Tata Tigor 2017-2020,2018,500000,35000,Petrol,Tata
Maruti Baleno Delta,2016,575000,45000,Petrol,Maruti
Maruti Alto 800,2017,275000,28000,Petrol,Maruti
Chevrolet Enjoy TCDi,2013,300000,70000,Diesel,Chevrolet
Maruti Wagon R,2009,220000,120000,Petrol,Maruti
Maruti Omni E,2018,254999,25000,Petrol,Maruti
Maruti Vitara Brezza,2017,670000,70000,Diesel,Maruti
Maruti Omni 8,2012,150000,35000,Petrol,Maruti
Hyundai i20 1.2,2018,730000,2388,Petrol,Hyundai
Maruti Vitara Brezza,2017,650000,16200,Diesel,Maruti
Maruti Alto K10,2019,366000,15000,Petrol,Maruti
Hyundai Verna VTVT,2019,1149000,5000,Petrol,Hyundai
Tata Safari DICOR,2011,425000,60000,Diesel,Tata
Maruti 800 Std,2012,150000,76000,Petrol,Maruti
Honda City i,2018,925000,28900,Petrol,Honda
Honda City V,2013,425000,86300,Petrol,Honda
Maruti Swift Dzire,2018,675000,23300,Petrol,Maruti
Maruti Vitara Brezza,2018,819999,32600,Diesel,Maruti
Maruti Alto K10,2018,390000,10300,Petrol,Maruti
Toyota Fortuner 4x4,2014,1500000,77000,Diesel,Toyota
Toyota Innova 2.5,2013,700000,99000,Diesel,Toyota
Honda Amaze S,2015,425000,49800,Diesel,Honda
Honda City i,2015,600000,54700,Diesel,Honda
Maruti Ciaz Zeta,2018,850000,64000,Petrol,Maruti
Honda Jazz VX,2015,525000,63000,Diesel,Honda
Toyota Innova Crysta,2016,1650000,127700,Diesel,Toyota
Toyota Innova 2.5,2016,950000,99000,Diesel,Toyota
Toyota Corolla Altis,2018,1590000,25000,Petrol,Toyota
Tata Manza ELAN,2011,265000,120000,Diesel,Tata
Hyundai i10 Magna,2011,190000,110000,Petrol,Hyundai
Hyundai i20 Asta,2013,425000,60000,Diesel,Hyundai
Maruti Swift Dzire,2015,630000,147000,Diesel,Maruti
Ford Figo 1.2P,2017,600000,25000,Petrol,Ford
Maruti Baleno Delta,2019,650000,30000,Petrol,Maruti
Volkswagen Ameo 1.5,2016,540000,40000,Diesel,Volkswagen
Honda City i,2015,630000,135000,Diesel,Honda
Maruti Wagon R,2018,448000,30000,Petrol,Maruti
Volkswagen Ameo 1.5,2017,500000,80000,Diesel,Volkswagen
Maruti Vitara Brezza,2016,745000,70000,Diesel,Maruti
Maruti Vitara Brezza,2019,1025000,9850,Diesel,Maruti
Hyundai i10 Magna,2011,235000,60000,Petrol,Hyundai
Maruti Swift VDI,2016,630000,70000,Diesel,Maruti
Toyota Fortuner 4x4,2015,1700000,78000,Diesel,Toyota
Maruti Swift Star,2013,450000,120000,Diesel,Maruti
Maruti Ertiga ZXI,2012,450000,120000,Petrol,Maruti
Volkswagen Vento Diesel,2013,450000,170000,Diesel,Volkswagen
Toyota Innova 2.5,2016,1200000,140000,Diesel,Toyota
Ford EcoSport 1.5,2015,610000,90000,Diesel,Ford
Maruti Celerio ZXI,2017,484999,10000,Petrol,Maruti
Maruti Alto 800,2016,315000,32000,Petrol,Maruti
Maruti Alto 800,2016,275000,38000,Petrol,Maruti
Hyundai i10 Era,2012,290000,28000,Petrol,Hyundai
Maruti Omni 8,2017,280000,32000,Petrol,Maruti
Volkswagen Polo 1.2,2015,455000,42000,Petrol,Volkswagen
Hyundai i10 Magna,2015,351000,45000,Petrol,Hyundai
Volkswagen Vento Petrol,2012,535000,12000,Petrol,Volkswagen
Maruti Zen Estilo,2009,175000,55500,Petrol,Maruti
Hyundai i20 Asta,2013,525000,61500,Petrol,Hyundai
Maruti Swift Dzire,2016,600000,150000,Diesel,Maruti
Hyundai Xcent 1.2,2016,565000,72000,Petrol,Hyundai
Maruti Alto LX,2008,120000,68000,Petrol,Maruti
Hyundai i20 1.4,2017,725000,110000,Diesel,Hyundai
Maruti Wagon R,2009,185000,77000,Petrol,Maruti
Tata Manza Aura,2010,200000,100000,Diesel,Tata
Maruti Swift VXI,2019,615000,10000,Petrol,Maruti
Maruti Eeco 7,2016,270000,100000,Petrol,Maruti
Maruti Baleno Zeta,2018,610000,35000,Petrol,Maruti
Mahindra Scorpio VLX,2014,625000,70000,Diesel,Mahindra
Ford Freestyle Titanium,2020,400000,5000,Petrol,Ford
Hyundai Verna VTVT,2017,866000,37800,Petrol,Hyundai
Volkswagen Passat 1.8,2010,700000,114000,Petrol,Volkswagen
Tata Indica Vista,2010,300000,48000,Petrol,Tata
Mahindra XUV500 W11,2019,1700000,32000,Diesel,Mahindra
Tata Indigo CS,2016,375000,100000,Diesel,Tata
Hyundai Verna 1.6,2013,522000,150000,Diesel,Hyundai
Hyundai i20 Magna,2013,451999,69000,Diesel,Hyundai
Toyota Corolla Altis,2009,300000,100000,Petrol,Toyota
Maruti Celerio VXI,2020,475000,13000,Petrol,Maruti
Maruti Vitara Brezza,2016,780000,60000,Diesel,Maruti
Maruti Swift Dzire,2017,595000,40000,Petrol,Maruti
Maruti Wagon R,2017,440000,35000,Petrol,Maruti
Hyundai Creta 1.6,2016,1140000,50000,Diesel,Hyundai
Ford EcoSport 1.5,2017,850000,76139,Diesel,Ford
Maruti Swift Dzire,2012,370000,175000,Diesel,Maruti
Renault KWID 1.0,2018,350000,25000,Petrol,Renault
Maruti Celerio VXI,2015,360000,40000,Petrol,Maruti
Maruti Alto LXi,2008,105000,65000,Petrol,Maruti
Maruti Ertiga VDI,2013,625000,90000,Diesel,Maruti
Hyundai Santro Xing,2009,135000,80000,Petrol,Hyundai
Maruti Ertiga VDI,2015,700000,110000,Diesel,Maruti
Honda Amaze S,2019,690000,1303,Petrol,Honda
Honda City i-VTEC,2017,795000,41000,Petrol,Honda
Toyota Corolla Altis,2013,625000,39000,Petrol,Toyota
Maruti Ciaz ZDi,2015,535000,40000,Diesel,Maruti
Hyundai Elantra S,2016,805000,49900,Petrol,Hyundai
Tata Nexon 1.2,2018,811000,11000,Petrol,Tata
Volkswagen Vento Petrol,2011,375000,49000,Petrol,Volkswagen
Hyundai Elantra SX,2012,550000,95000,Petrol,Hyundai
Maruti Ertiga ZXI,2014,599000,46100,Petrol,Maruti
Honda City V,2017,875000,18000,Petrol,Honda
Toyota Glanza V,2019,894999,9654,Petrol,Toyota
Maruti Alto K10,2011,175000,11000,Petrol,Maruti
Maruti Swift VXI,2012,340000,24300,Petrol,Maruti
Toyota Innova Crysta,2016,1525000,42163,Diesel,Toyota
Tata Nexon 1.5,2018,1025000,8000,Diesel,Tata
Toyota Camry 2.5,2016,1900000,41000,Petrol,Toyota
Toyota Camry W4,2009,450000,71000,Petrol,Toyota
Maruti Ertiga BSIV,2016,850000,20000,Petrol,Maruti
Volkswagen Vento Diesel,2011,300000,100000,Diesel,Volkswagen
Ford Figo Aspire,2018,575000,9500,Petrol,Ford
Ford Figo Diesel,2011,160000,120000,Diesel,Ford
Maruti Swift VXI,2015,515000,36600,Petrol,Maruti
Maruti Wagon R,2015,390000,50000,Petrol,Maruti
Hyundai i20 Magna,2016,550000,14000,Petrol,Hyundai
Maruti Ritz VDi,2010,220000,120000,Diesel,Maruti
Hyundai Grand i10,2015,425000,70000,Petrol,Hyundai
Volkswagen Ameo 1.0,2019,480000,13000,Petrol,Volkswagen
Hyundai Grand i10,2014,400000,60000,Petrol,Hyundai
Maruti Swift Dzire,2014,487000,35000,Petrol,Maruti
Hyundai Xcent 1.2,2016,386000,44000,Petrol,Hyundai
Toyota Corolla Altis,2010,300000,60000,Diesel,Toyota
Toyota Fortuner 4x2,2014,1750000,30000,Diesel,Toyota
Mahindra KUV 100,2016,450000,15000,Petrol,Mahindra
Tata Zest Quadrajet,2017,490000,90000,Diesel,Tata
Honda City 1.5,2009,345000,47000,Petrol,Honda
Maruti Wagon R,2010,215000,120600,Petrol,Maruti
Hyundai Verna Transform,2010,320000,100000,Petrol,Hyundai
Maruti Swift Dzire,2016,459999,60000,Petrol,Maruti
Hyundai Elite i20,2020,720000,5000,Petrol,Hyundai
Maruti Ciaz 1.3,2017,800000,37000,Diesel,Maruti
Tata Tigor 1.2,2019,520000,14000,Petrol,Tata
Maruti Ertiga VDI,2015,580000,70000,Diesel,Maruti
Honda City i,2015,600000,50000,Petrol,Honda
Honda Brio S,2014,290000,60000,Petrol,Honda
Maruti Swift Dzire,2017,550000,50000,Petrol,Maruti
Hyundai i20 Sportz,2013,375000,70000,Petrol,Hyundai
Maruti Wagon R,2018,420000,35000,Petrol,Maruti
Maruti Swift Dzire,2017,550000,20000,Petrol,Maruti
Maruti Alto 800,2018,270000,20000,Petrol,Maruti
Maruti Swift Dzire,2018,700000,7800,Petrol,Maruti
Maruti Swift VXI,2017,500000,20000,Petrol,Maruti
Tata Hexa XE,2019,1250000,15000,Diesel,Tata
Hyundai i20 Magna,2013,320000,31377,Petrol,Hyundai
Maruti Swift Dzire,2018,700000,50000,Diesel,Maruti
Maruti Wagon R,2015,290000,60000,Petrol,Maruti
Toyota Corolla Altis,2012,550000,100000,Petrol,Toyota
Honda Brio S,2012,265000,60000,Petrol,Honda
Maruti Baleno Alpha,2018,830000,5000,Petrol,Maruti
Tata Safari Storme,2017,800000,60000,Diesel,Tata
Maruti Alto LXi,2011,160000,25000,Petrol,Maruti
Renault KWID RXT,2018,335000,30000,Petrol,Renault
Maruti Vitara Brezza,2017,775000,75000,Diesel,Maruti
Hyundai Xcent 1.2,2020,524000,32000,Petrol,Hyundai
Maruti Alto 800,2015,245000,40000,Petrol,Maruti
Hyundai i20 1.2,2012,275000,93000,Petrol,Hyundai
Tata Zest Revotron,2018,520000,60000,Petrol,Tata
Ford EcoSport 1.5,2018,910000,15000,Petrol,Ford
Maruti Wagon R,2016,350000,140000,Petrol,Maruti
Mahindra Ssangyong Rexton,2013,900000,70000,Diesel,Mahindra
Mahindra Quanto C8,2013,300000,120000,Diesel,Mahindra
Maruti Ritz LDi,2010,250000,110000,Diesel,Maruti
Hyundai Creta 1.6,2017,1100000,37000,Diesel,Hyundai
Renault KWID RXT,2016,270000,44000,Petrol,Renault
Maruti Ertiga VDI,2015,640000,80000,Diesel,Maruti
Mahindra XUV500 W4,2015,650000,125000,Diesel,Mahindra
Maruti Eeco 5,2017,409999,13500,Petrol,Maruti
Hyundai Santro Xing,2011,165000,75000,Petrol,Hyundai
Hyundai Accent GLE,2007,80000,120000,Petrol,Hyundai
Mahindra XUV500 W8,2012,535000,120000,Diesel,Mahindra
Toyota Innova 2.5,2013,700000,70000,Diesel,Toyota
Maruti Swift Dzire,2013,550000,70000,Diesel,Maruti
Honda Amaze S,2019,680000,15000,Petrol,Honda
Hyundai i10 Sportz,2009,200000,53000,Petrol,Hyundai
Maruti Swift Dzire,2014,500000,120000,Diesel,Maruti
Maruti Ertiga SHVS,2016,1000000,70000,Diesel,Maruti
Hyundai Getz 1.3,2008,110000,120000,Petrol,Hyundai
Hyundai i20 1.2,2012,320000,100000,Petrol,Hyundai
Maruti Swift LXI,2015,350000,100000,Petrol,Maruti
Tata Indica Vista,2013,170000,162500,Diesel,Tata
Hyundai i20 2015-2017,2017,800000,39000,Diesel,Hyundai
Maruti Ignis 1.3,2017,500000,75000,Diesel,Maruti
Tata Hexa XTA,2017,1380000,50000,Diesel,Tata
Mahindra Marazzo M6,2019,1300000,40000,Diesel,Mahindra
Hyundai Verna 1.6,2013,530000,92500,Diesel,Hyundai
Maruti Swift Dzire,2012,360000,158000,Diesel,Maruti
Maruti Swift Dzire,2012,310000,120000,Diesel,Maruti
Honda City i,2015,725000,50000,Diesel,Honda
Maruti Swift Dzire,2012,340000,110000,Diesel,Maruti
Hyundai Xcent 1.2,2017,550000,2000,Diesel,Hyundai
Toyota Fortuner 3.0,2011,1150000,181000,Diesel,Toyota
Tata Tiago 1.05,2016,380000,70000,Diesel,Tata
Hyundai Elite i20,2019,610000,2000,Petrol,Hyundai
Maruti Swift Dzire,2015,525000,20000,Petrol,Maruti
Toyota Innova 2.5,2011,480000,120000,Diesel,Toyota
Mahindra Thar CRDe,2017,780000,35000,Diesel,Mahindra
Maruti Swift Dzire,2012,320000,193000,Diesel,Maruti
Maruti Swift 1.2,2014,375000,80000,Petrol,Maruti
Hyundai i20 Asta,2015,500000,70000,Diesel,Hyundai
Mahindra Scorpio LX,2011,404000,122358,Diesel,Mahindra
Tata Sumo Gold,2015,500000,75000,Diesel,Tata
Tata Tiago Wizz,2017,350000,120000,Diesel,Tata
Tata Zest Revotron,2015,380000,40000,Petrol,Tata
Hyundai Accent GLE,2008,114999,95200,Petrol,Hyundai
Honda Brio Exclusive,2014,335000,33033,Petrol,Honda
Hyundai Grand i10,2015,465000,63063,Petrol,Hyundai
Tata Manza Club,2012,290000,60000,Diesel,Tata
Tata New Safari,2011,450000,80000,Diesel,Tata
Mahindra Bolero SLE,2009,400000,170000,Diesel,Mahindra
Mahindra Bolero DI,2007,210000,207890,Diesel,Mahindra
Maruti Omni E,2016,220000,35000,Petrol,Maruti
Hyundai Grand i10,2017,450000,35000,Petrol,Hyundai
Hyundai i10 Sportz,2013,290000,50000,Petrol,Hyundai
Maruti Swift VXI,2016,520000,20000,Petrol,Maruti
Hyundai i10 Sportz,2011,265000,20000,Petrol,Hyundai
Maruti Swift VXI,2012,330000,50000,Petrol,Maruti
Mahindra Bolero 2011-2019,2014,509999,120000,Diesel,Mahindra
Hyundai Verna 1.6,2014,500000,70000,Petrol,Hyundai
Hyundai i20 Active,2015,525000,50000,Petrol,Hyundai
Maruti Baleno Zeta,2019,675000,16500,Petrol,Maruti
Hyundai i20 1.2,2010,300000,70000,Petrol,Hyundai
Maruti Swift Dzire,2017,650000,25000,Diesel,Maruti
Maruti Swift Dzire,2014,409000,70000,Petrol,Maruti
Hyundai Grand i10,2015,395000,80000,Diesel,Hyundai
Maruti Swift Dzire,2014,400000,70000,Petrol,Maruti
Chevrolet Beat LS,2012,120000,60000,Petrol,Chevrolet
Tata Tigor 1.2,2018,645000,10000,Petrol,Tata
Maruti 800 Std,2006,81000,80000,Petrol,Maruti
Honda City i-DTEC,2017,1300000,30000,Diesel,Honda
Honda City i-DTEC,2017,1250000,33000,Diesel,Honda
Maruti Ertiga VXI,2013,535000,90000,Petrol,Maruti
Honda City i,2014,725000,120000,Petrol,Honda
Renault KWID RXL,2016,229999,40000,Petrol,Renault
Toyota Innova 2.5,2013,800000,160000,Diesel,Toyota
Maruti Wagon R,2017,409999,47000,Petrol,Maruti
Hyundai Creta 1.4,2018,1210000,25000,Diesel,Hyundai
Tata Tiago 1.2,2017,400000,26000,Petrol,Tata
Hyundai Grand i10,2018,520000,29000,Diesel,Hyundai
Maruti Baleno Zeta,2016,650000,50000,Petrol,Maruti
Maruti Swift ZXI,2011,325000,58000,Petrol,Maruti
Maruti Swift Dzire,2012,420000,120000,Petrol,Maruti
Maruti Swift LXI,2014,400000,50000,Petrol,Maruti
Hyundai i20 1.2,2010,254999,80000,Petrol,Hyundai
Maruti Celerio LXI,2017,351000,36000,Petrol,Maruti
Toyota Innova 2.5,2007,404000,120000,Diesel,Toyota
Maruti Ritz LDi,2011,185000,185000,Diesel,Maruti
Hyundai Verna 1.6,2013,500000,50000,Petrol,Hyundai
Maruti Zen Estilo,2007,85000,80000,Petrol,Maruti
Maruti Swift Dzire,2011,265000,90000,Diesel,Maruti
Maruti A-Star Vxi,2010,130000,162000,Petrol,Maruti
Maruti Ertiga VDI,2013,480000,110000,Diesel,Maruti
Maruti Swift Ldi,2008,170000,120000,Diesel,Maruti
Ford Figo Diesel,2010,170000,90000,Diesel,Ford
Mahindra XUV300 W8,2019,1090000,16500,Petrol,Mahindra
Hyundai Creta 1.6,2017,1100000,67000,Diesel,Hyundai
Maruti Swift VXI,2018,610000,52000,Petrol,Maruti
Hyundai Grand i10,2015,434999,40000,Petrol,Hyundai
Toyota Fortuner 2.8,2018,3000000,35000,Diesel,Toyota
Renault KWID RXL,2018,390000,13000,Petrol,Renault
Honda Brio 1.2,2012,325000,40000,Petrol,Honda
Volkswagen Ameo 1.2,2019,640000,10000,Petrol,Volkswagen
Toyota Etios Liva,2013,400000,70000,Diesel,Toyota
Hyundai i10 Sportz,2009,215000,60000,Petrol,Hyundai
Renault Duster 85PS,2014,570000,40000,Diesel,Renault
Mahindra XUV500 W8,2012,680000,93000,Diesel,Mahindra
Toyota Innova 2.5,2008,325000,80000,Diesel,Toyota
Tata Indigo CS,2011,150000,50000,Petrol,Tata
